M X: -1568, Y: -3892, Z:530 11:45:09
M X: -1588, Y: -3866, Z:232 11:45:09
M X: -1554, Y: -3560, Z:521 11:45:09
M X: -1560, Y: -3886, Z:516 11:45:09
M X: -1542, Y: -3876, Z:287 11:45:09
M X: -1560, Y: -3930, Z:565 11:45:09
M X: -1564, Y: -3894, Z:244 11:45:09
M X: -1584, Y: -3860, Z:214 11:45:09
M X: -1274, Y: -3922, Z:217 11:45:09
M X: -1266, Y: -3898, Z:224 11:45:09
M X: -1266, Y: -3920, Z:174 11:45:09
M X: -1542, Y: -3912, Z:557 11:45:09
M X: -1570, Y: -3904, Z:535 11:45:09
M X: -1266, Y: -3848, Z:577 11:45:09
M X: -1572, Y: -3856, Z:228 11:45:09
M X: -1542, Y: -3884, Z:217 11:45:09
M X: -1556, Y: -3908, Z:550 11:45:09
M X: -1590, Y: -3874, Z:525 11:45:09
M X: -1588, Y: -3916, Z:565 11:45:09
M X: -1552, Y: -3850, Z:611 11:45:09
M X: -1546, Y: -3904, Z:597 11:45:09
M X: -1546, Y: -3898, Z:240 11:45:09
M X: -1540, Y: -3860, Z:532 11:45:09
M X: -1254, Y: -3896, Z:521 11:45:09
M X: -1258, Y: -3886, Z:562 11:45:09
M X: -1276, Y: -3850, Z:235 11:45:09
M X: -1232, Y: -3942, Z:202 11:45:09
M X: -1264, Y: -3584, Z:513 11:45:09
M X: -1252, Y: -3850, Z:176 11:45:09
M X: -1274, Y: -3858, Z:513 11:45:09
M X: -1278, Y: -3852, Z:128 11:45:09
M X: -1544, Y: -3902, Z:243 11:45:09
M X: -1568, Y: -3956, Z:554 11:45:09
M X: -1278, Y: -3884, Z:573 11:45:09
M X: -1276, Y: -3566, Z:229 11:45:09
M X: -1256, Y: -3862, Z:244 11:45:09
M X: -1244, Y: -3856, Z:530 11:45:09
M X: -1556, Y: -3584, Z:514 11:45:09
M X: -1272, Y: -3574, Z:516 11:45:09
M X: -1540, Y: -3844, Z:529 11:45:09
M X: -1566, Y: -3876, Z:561 11:45:09
M X: -1276, Y: -3864, Z:539 11:45:09
M X: -1548, Y: -3580, Z:248 11:45:09
M X: -1250, Y: -3892, Z:548 11:45:09
M X: -1538, Y: -3582, Z:512 11:45:09
M X: -1558, Y: -3880, Z:553 11:45:09
M X: -1554, Y: -3564, Z:221 11:45:09
